recorded_date_time,timezone,sensor_name_serial_number,gain_setting,battery_voltage,tempeature_celcius
2021-01-15T19:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.6
2021-01-15T19:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.3
2021-01-15T19:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.1
2021-01-15T19:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.2
2021-01-15T20:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.5
2021-01-15T20:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.4
2021-01-15T20:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,8.2
2021-01-15T20:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.4
2021-01-15T21:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.2
2021-01-15T21:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.7
2021-01-15T21:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.7
2021-01-15T21:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.4
2021-01-15T22:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.5
2021-01-15T22:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.7
2021-01-15T22:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.1
2021-01-15T22:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.2
2021-01-15T23:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.2
2021-01-15T23:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.4
2021-01-15T23:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.7
2021-01-15T23:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.9
2021-01-16T00:00:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.6
2021-01-16T00:15:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.4
2021-01-16T00:30:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.6
2021-01-16T00:45:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6
2021-01-16T01:00:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.6
2021-01-16T01:15:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.7
2021-01-16T03:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.7
2021-01-16T15:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.7
2021-01-16T15:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
2021-01-16T15:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.6
2021-01-16T15:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.4
2021-01-16T16:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.7
2021-01-16T16:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.4
2021-01-16T16:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.9
2021-01-16T16:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.6
